Steder,Sted A,Sted B,Sted C,Sted D,Sted E,Sted F,Sted G,Sted H,Sted I,Sted J
Sted A,0,60,83,118,642,830,1384,1230,1264,1257
Sted B,60,0,26,61,585,804,1442,1288,1321,1315
Sted C,83,26,0,46,560,779,1465,1312,1345,1338
Sted D,118,61,46,0,524,744,1500,1346,1479,1373
Sted E,642,585,560,524,0,367,1763,1664,1644,1734
Sted F,830,804,779,744,367,0,1801,1702,1683,1773
Sted G,1384,1442,1465,1500,1763,1801,0,156,127,172
Sted H,1230,1288,1312,1346,1664,1702,156,0,34,118
Sted I,1264,1321,1345,1379,1644,1683,127,34,0,91
Sted J,1257,1315,1338,1373,1734,1773,172,118,91,0
